orig,dest,year,stock,stock95
High,High,1990,17.207009,2.912694
High,High,1995,2.791991,2.791991
High,High,2000,3.19175,2.777351
High,High,2005,16.884257,3.240443
High,High,2010,20.351574,3.687724
High,High,2015,4.200923,3.788761
High,High,2019,6.476721,3.975534
High,Low,1990,0.496291,0.641326
High,Low,1995,0.580928,0.580928
High,Low,2000,0.542208,0.547762
High,Low,2005,0.475329,0.550063
High,Low,2010,0.585281,0.577485
High,Low,2015,0.055973,0.611948
High,Low,2019,0.124021,0.6245
High,Medium,1990,9.788176,12.822196
High,Medium,1995,11.342731,11.342731
High,Medium,2000,9.773081,9.990292
High,Medium,2005,3.624628,9.539653
High,Medium,2010,2.71919,9.357247
High,Medium,2015,1.591492,9.656574
High,Medium,2019,1.080577,9.964828
High,Very High,1990,14.168289,12.140473
High,Very High,1995,13.362615,13.362615
High,Very High,2000,22.670172,14.554192
High,Very High,2005,28.579783,14.952217
High,Very High,2010,53.751887,16.274841
High,Very High,2015,62.208993,17.316145
High,Very High,2019,69.226464000000007,19.270195
Low,High,1990,8.923078,6.578006
Low,High,1995,7.500205,7.500205
Low,High,2000,7.331616,8.770627
Low,High,2005,6.661529,11.949842
Low,High,2010,7.903597,18.474817
Low,High,2015,7.843372,22.406697
Low,High,2019,6.416672,25.291166
Low,Low,1990,26.18377,25.399191
Low,Low,1995,23.827611,23.827611
Low,Low,2000,21.937851,22.363048
Low,Low,2005,20.679387,21.179057
Low,Low,2010,12.365633,21.78725
Low,Low,2015,13.688839,24.348445
Low,Low,2019,12.984301,26.847001
Low,Medium,1990,10.275236,5.825066
Low,Medium,1995,5.131061,5.131061
Low,Medium,2000,4.944576,5.891385
Low,Medium,2005,5.984005,7.447784
Low,Medium,2010,7.53443,9.830768
Low,Medium,2015,4.834911,11.441958
Low,Medium,2019,4.278959,11.990901
Low,Very High,1990,6.730085,10.193386
Low,Very High,1995,12.736244,12.736244
Low,Very High,2000,9.897619,15.403199
Low,Very High,2005,12.356897,18.944616
Low,Very High,2010,14.105303,22.568745
Low,Very High,2015,13.446489,27.176908
Low,Very High,2019,14.413222,30.037592
Medium,High,1990,15.277188,17.330612
Medium,High,1995,18.92985,18.92985
Medium,High,2000,21.554175,20.440357
Medium,High,2005,15.097613,24.340391
Medium,High,2010,11.516705,29.250595
Medium,High,2015,10.626969,32.788504
Medium,High,2019,9.311144,34.549392
Medium,Low,1990,0.858591,1.199377
Medium,Low,1995,1.080678,1.080678
Medium,Low,2000,1.026248,0.99328
Medium,Low,2005,0.822446,1.078818
Medium,Low,2010,3.432349,1.124528
Medium,Low,2015,3.642702,1.188804
Medium,Low,2019,2.111301,1.219655
Medium,Medium,1990,7.961404,10.566956
Medium,Medium,1995,11.190295,11.190295
Medium,Medium,2000,7.063739,11.752467
Medium,Medium,2005,3.176264,11.877646
Medium,Medium,2010,2.5208,13.399346
Medium,Medium,2015,6.585744,16.80685
Medium,Medium,2019,8.734986,20.286202
Medium,Very High,1990,13.441536,19.238697
Medium,Very High,1995,25.236174,25.236174
Medium,Very High,2000,27.427448,31.349736
Medium,Very High,2005,33.133644,35.415896
Medium,Very High,2010,31.100876,40.009364
Medium,Very High,2015,40.777935,43.322045
Medium,Very High,2019,46.4897,47.387533
Very High,High,1990,2.638708,2.022407
Very High,High,1995,1.976628,1.976628
Very High,High,2000,2.123464,2.222617
Very High,High,2005,2.580214,2.868095
Very High,High,2010,4.263932,3.587382
Very High,High,2015,8.456452,3.665569
Very High,High,2019,9.395265,3.818365
Very High,Low,1990,0.221616,0.287543
Very High,Low,1995,0.295074,0.295074
Very High,Low,2000,0.326234,0.30885
Very High,Low,2005,0.303305,0.436187
Very High,Low,2010,0.236217,0.574567
Very High,Low,2015,0.141937,0.645611
Very High,Low,2019,0.128384,0.673933
Very High,Medium,1990,1.046578,1.425719
Very High,Medium,1995,1.505227,1.505227
Very High,Medium,2000,1.760745,1.719552
Very High,Medium,2005,1.927566,1.993142
Very High,Medium,2010,1.10004,2.329713
Very High,Medium,2015,2.730173,2.4946
Very High,Medium,2019,1.232798,2.802975
Very High,Very High,1990,4.624933,11.258839
Very High,Very High,1995,11.821216,11.821216
Very High,Very High,2000,19.988325,12.474536
Very High,Very High,2005,26.457004,12.930021
Very High,Very High,2010,33.04562,13.699062
Very High,Very High,2015,50.930294,14.103779
Very High,Very High,2019,61.370331,15.035074
