orig,dest,year,stock,stock20
High,High,1995,1.86985,5.524793
High,High,2000,2.1569,6.079386
High,High,2005,17.919793,6.246478
High,High,2010,19.6199,6.546139
High,High,2015,6.656093,6.817525
High,High,2020,9.96656,9.96656
High,Low,1995,1.939866,0.109185
High,Low,2000,0.479367,0.112035
High,Low,2005,0.567263,0.133687
High,Low,2010,0.090864,0.13087
High,Low,2015,0.67974,0.150952
High,Low,2020,0.162488,0.162488
High,Medium,1995,9.844793,1.213253
High,Medium,2000,9.590457,1.259999
High,Medium,2005,3.398146,1.362023
High,Medium,2010,2.632875,1.398724
High,Medium,2015,1.527934,1.480191
High,Medium,2020,1.529355,1.529355
High,Very High,1995,9.335381,37.563376
High,Very High,2000,20.949309,45.080947
High,Very High,2005,28.337646,53.320683
High,Very High,2010,42.154782,62.607285
High,Very High,2015,60.584405,68.235225
High,Very High,2020,74.586714,74.586714
Low,High,1995,9.024969,2.035555
Low,High,2000,8.398101,1.541893
Low,High,2005,6.586274,2.431754
Low,High,2010,5.158266,2.989343
Low,High,2015,3.221118,3.150094
Low,High,2020,3.325123,3.325123
Low,Low,1995,18.980976,5.625749
Low,Low,2000,17.298617,5.538554
Low,Low,2005,16.910314,6.21066
Low,Low,2010,8.280636,6.846031
Low,Low,2015,7.999685,7.630912
Low,Low,2020,7.954911,7.954911
Low,Medium,1995,6.64261,1.263737
Low,Medium,2000,4.272975,1.27958
Low,Medium,2005,4.99823,1.464874
Low,Medium,2010,4.399536,1.552624
Low,Medium,2015,2.631343,1.666777
Low,Medium,2020,1.719785,1.719785
Low,Very High,1995,14.817034,2.884894
Low,Very High,2000,10.315114,3.302228
Low,Very High,2005,12.119001,4.211959
Low,Very High,2010,10.490847,5.527301
Low,Very High,2015,12.342529,6.555507
Low,Very High,2020,8.074622,8.074622
Medium,High,1995,14.847583,1.55674
Medium,High,2000,18.291285,2.124699
Medium,High,2005,13.438153,3.37955
Medium,High,2010,12.352546,4.744686
Medium,High,2015,8.077789,5.358914
Medium,High,2020,5.690602,5.690602
Medium,Low,1995,1.718476,0.817753
Medium,Low,2000,1.243391,0.865295
Medium,Low,2005,0.836067,1.034544
Medium,Low,2010,3.244824,1.098175
Medium,Low,2015,2.999191,1.135224
Medium,Low,2020,1.142142,1.142142
Medium,Medium,1995,5.094277,10.128512
Medium,Medium,2000,5.439819,9.283758
Medium,Medium,2005,2.152136,8.709717
Medium,Medium,2010,4.995846,7.817312
Medium,Medium,2015,5.137464,7.370331
Medium,Medium,2020,7.057945,7.057945
Medium,Very High,1995,23.790563,14.253549
Medium,Very High,2000,26.839545,16.693821
Medium,Very High,2005,30.380779,21.641983
Medium,Very High,2010,40.965666,30.000728
Medium,Very High,2015,38.096419,36.628992
Medium,Very High,2020,42.136198,42.136198
Very High,High,1995,1.632642,9.469149
Very High,High,2000,1.925044,8.588712
Very High,High,2005,2.425109,8.356474
Very High,High,2010,3.743225,8.439135
Very High,High,2015,8.472372,8.566106
Very High,High,2020,8.958249,8.958249
Very High,Low,1995,0.475216,0.077128
Very High,Low,2000,0.448323,0.077853
Very High,Low,2005,0.368484,0.079443
Very High,Low,2010,0.137102,0.086188
Very High,Low,2015,0.113751,0.09142
Very High,Low,2020,0.096187,0.096187
Very High,Medium,1995,1.738815,1.163691
Very High,Medium,2000,1.679033,1.073565
Very High,Medium,2005,1.977887,1.104425
Very High,Medium,2010,1.521708,1.127974
Very High,Medium,2015,1.355504,1.117533
Very High,Medium,2020,1.10865,1.10865
Very High,Very High,1995,17.123739,45.189726
Very High,Very High,2000,21.889356,48.314311
Very High,Very High,2005,28.239759,50.966787
Very High,Very High,2010,37.019261,55.895369
Very High,Very High,2015,54.474977,58.414611
Very High,Very High,2020,65.431816,65.431816
