"Major area, region, country or area of destination",1990,1995,2000,2005,2010,2015,2019
Burundi,5439000,5987000,6379000,7365000,8676000,10160000,11531000
Comoros,412000,475000,542000,612000,690000,777000,851000
Djibouti,590000,630000,718000,783000,840000,914000,974000
Eritrea,2259000,2204000,2292000,2827000,3170000,3343000,3497000
Ethiopia,47888000,57048000,66225000,76346000,87640000,100835000,112079000
Kenya,23725000,27768000,31965000,36625000,42031000,47878000,52574000
Madagascar,11599000,13475000,15767000,18337000,21152000,24234000,26969000
Malawi,9405000,9844000,11149000,12626000,14540000,16745000,18629000
Mauritius,1056000,1129000,1185000,1222000,1248000,1259000,1270000
Mayotte,95000,123000,150000,178000,209000,240000,266000
Mozambique,12987000,15483000,17712000,20494000,23532000,27042000,30366000
Réunion,611000,674000,737000,792000,831000,863000,889000
Rwanda,7289000,5836000,7934000,8840000,10039000,11369000,12627000
Seychelles,71000,77000,81000,89000,91000,95000,98000
Somalia,7225000,7492000,8872000,10447000,12044000,13797000,15443000
South Sudan,5493000,5118000,6199000,7536000,9508000,10716000,11062000
Uganda,17354000,20413000,23650000,27685000,32428000,38225000,44270000
United Republic of Tanzania,25204000,29649000,33499000,38450000,44347000,51483000,58005000
Zambia,8037000,9097000,10416000,11856000,13606000,15879000,17861000
Zimbabwe,10432000,11411000,11881000,12077000,12698000,13815000,14645000
Angola,11848000,13945000,16395000,19434000,23356000,27884000,31825000
Cameroon,11780000,13600000,15514000,17733000,20341000,23298000,25876000
Central African Republic,2807000,3223000,3640000,4038000,4387000,4493000,4745000
Chad,5963000,7010000,8356000,10097000,11952000,14111000,15947000
Congo,2357000,2708000,3127000,3623000,4274000,4856000,5381000
Democratic Republic of the Congo,34612000,41576000,47106000,54786000,64564000,76245000,86791000
Equatorial Guinea,419000,497000,606000,750000,944000,1169000,1356000
Gabon,949000,1085000,1228000,1391000,1624000,1948000,2173000
Sao Tome and Principe,119000,132000,142000,157000,180000,199000,215000
Botswana,1287000,1469000,1643000,1799000,1987000,2121000,2304000
Eswatini,822000,927000,1005000,1031000,1065000,1104000,1148000
Lesotho,1704000,1899000,2033000,1996000,1996000,2059000,2125000
Namibia,1433000,1628000,1795000,1938000,2119000,2315000,2495000
South Africa,36801000,41436000,44968000,47881000,51217000,55386000,58558000
Benin,4978000,5906000,6866000,7982000,9199000,10576000,11801000
Burkina Faso,8811000,10090000,11608000,13422000,15605000,18111000,20321000
Cabo Verde,338000,386000,428000,463000,493000,525000,550000
Côte d'Ivoire,11925000,14200000,16455000,18355000,20533000,23226000,25717000
Gambia,956000,1129000,1318000,1544000,1793000,2086000,2348000
Ghana,14773000,17014000,19279000,21815000,24780000,27849000,30418000
Guinea,6352000,7270000,8241000,9110000,10192000,11432000,12771000
Guinea-Bissau,975000,1089000,1201000,1345000,1523000,1737000,1921000
Liberia,2076000,2045000,2848000,3218000,3891000,4472000,4937000
Mali,8450000,9586000,10946000,12776000,15049000,17439000,19658000
Mauritania,2034000,2314000,2630000,3024000,3494000,4046000,4526000
Niger,8027000,9490000,11332000,13624000,16464000,20002000,23311000
Nigeria,95212000,107948000,122284000,138865000,158503000,181137000,200964000
Saint Helena,7000,6000,6000,5000,5000,6000,6000
Senegal,7526000,8690000,9798000,11090000,12678000,14578000,16296000
Sierra Leone,4320000,4304000,4585000,5646000,6416000,7172000,7813000
Togo,3774000,4226000,4924000,5612000,6422000,7323000,8082000
Algeria,25759000,28758000,31042000,33150000,35977000,39728000,43053000
Egypt,56134000,62334000,68832000,75524000,82761000,92443000,100388000
Libya,4437000,4949000,5358000,5799000,6198000,6418000,6777000
Morocco,24807000,26994000,28794000,30456000,32343000,34664000,36472000
Sudan,20148000,24095000,27275000,30950000,34545000,38903000,42813000
Tunisia,8242000,9125000,9708000,10107000,10635000,11180000,11695000
Western Sahara,217000,256000,314000,438000,480000,526000,582000
Armenia,3538000,3217000,3070000,2981000,2877000,2926000,2958000
Azerbaijan,7243000,7775000,8123000,8539000,9032000,9623000,10048000
Bahrain,496000,564000,665000,889000,1241000,1372000,1641000
Cyprus,767000,855000,943000,1028000,1113000,1161000,1199000
Georgia,5410000,4976000,4362000,4210000,4099000,4024000,3997000
Iraq,17419000,20149000,23498000,26922000,29742000,35572000,39310000
Israel,4448000,5271000,5946000,6529000,7346000,7978000,8519000
Jordan,3566000,4589000,5122000,5766000,7262000,9267000,10102000
Kuwait,2095000,1606000,2045000,2270000,2992000,3836000,4207000
Lebanon,2803000,3528000,3843000,4699000,4953000,6533000,6856000
Oman,1812000,2204000,2268000,2511000,3041000,4267000,4975000
Qatar,476000,513000,592000,865000,1856000,2566000,2832000
Saudi Arabia,16234000,18639000,20664000,23816000,27421000,31718000,34269000
State of Palestine,2101000,2619000,3224000,3578000,4056000,4529000,4981000
Syrian Arab Republic,12446000,14345000,16411000,18361000,21363000,17997000,17070000
Turkey,53922000,58486000,63240000,67903000,72327000,78529000,83430000
United Arab Emirates,1828000,2415000,3134000,4588000,8550000,9263000,9771000
Yemen,11710000,14913000,17409000,20107000,23155000,26498000,29162000
Kazakhstan,16384000,15839000,14923000,15403000,16252000,17572000,18551000
Kyrgyzstan,4373000,4566000,4921000,5075000,5422000,5959000,6416000
Tajikistan,5284000,5765000,6216000,6789000,7527000,8454000,9321000
Turkmenistan,3684000,4208000,4516000,4755000,5087000,5565000,5942000
Uzbekistan,20398000,22791000,24770000,26428000,28516000,30930000,32982000
Afghanistan,12412000,18111000,20780000,25654000,29186000,34414000,38042000
Bangladesh,103172000,115170000,127658000,139036000,147575000,156256000,163046000
Bhutan,531000,535000,591000,649000,686000,728000,763000
India,873278000,963923000,1056576000,1147610000,1234281000,1310152000,1366418000
Iran (Islamic Republic of),56366000,61443000,65623000,69762000,73763000,78492000,82914000
Maldives,223000,254000,279000,320000,366000,455000,531000
Nepal,18905000,21576000,23941000,25745000,27013000,27015000,28609000
Pakistan,107648000,123777000,142344000,160304000,179425000,199427000,216565000
Sri Lanka,17326000,18243000,18778000,19545000,20262000,20908000,21324000
China,1197362000,1262277000,1312517000,1353482000,1391998000,1430405000,1457558000
"China, Hong Kong SAR",5728000,6084000,6606000,6770000,6966000,7186000,7436000
"China, Macao SAR",344000,386000,428000,483000,538000,602000,640000
Dem. People's Republic of Korea,20293000,21862000,22929000,23904000,24549000,25184000,25666000
Japan,124505000,126365000,127524000,128326000,128542000,127985000,126860000
Mongolia,2184000,2298000,2397000,2526000,2720000,2998000,3225000
Republic of Korea,42918000,45293000,47379000,48701000,49546000,50823000,51225000
Brunei Darussalam,259000,297000,333000,365000,389000,415000,433000
Cambodia,8976000,10656000,12155000,13273000,14312000,15521000,16487000
Indonesia,181413000,196934000,211514000,226289000,241834000,258383000,270626000
Lao People's Democratic Republic,4258000,4846000,5324000,5752000,6249000,6741000,7169000
Malaysia,18030000,20488000,23194000,25691000,28208000,30271000,31950000
Myanmar,41335000,43902000,46720000,48950000,50601000,52681000,54045000
Philippines,61895000,69784000,77992000,86326000,93967000,102113000,108117000
Singapore,3013000,3526000,4029000,4266000,5131000,5592000,5804000
Thailand,56558000,59467000,62953000,65416000,67195000,68715000,69626000
Timor-Leste,738000,844000,884000,995000,1094000,1196000,1293000
Viet Nam,67989000,74910000,79910000,83833000,87968000,92677000,96462000
Anguilla,9000,10000,11000,12000,13000,14000,15000
Antigua and Barbuda,63000,69000,76000,81000,88000,94000,97000
Aruba,62000,80000,91000,100000,102000,104000,106000
Bahamas,256000,280000,298000,325000,355000,374000,389000
Barbados,261000,266000,272000,276000,282000,285000,287000
British Virgin Islands,17000,19000,20000,23000,28000,29000,30000
"Bonaire, Sint Eustatius and Saba",13000,15000,14000,14000,21000,25000,26000
Cayman Islands,25000,32000,42000,49000,57000,62000,65000
Cuba,10597000,10888000,11126000,11262000,11226000,11325000,11333000
Curaçao,147000,144000,132000,130000,149000,160000,163000
Dominica,70000,71000,70000,71000,71000,71000,72000
Dominican Republic,7133000,7819000,8471000,9097000,9695000,10282000,10739000
Grenada,96000,100000,103000,105000,106000,110000,112000
Guadeloupe,426000,437000,458000,446000,453000,446000,448000
Haiti,7038000,7745000,8464000,9195000,9949000,10696000,11263000
Jamaica,2420000,2534000,2655000,2740000,2810000,2891000,2948000
Martinique,358000,369000,387000,397000,395000,378000,376000
Montserrat,11000,10000,5000,5000,5000,5000,5000
Puerto Rico,3403000,3568000,3669000,3632000,3580000,3382000,2933000
Saint Kitts and Nevis,40000,42000,44000,47000,49000,51000,53000
Saint Lucia,138000,147000,157000,163000,174000,179000,183000
Saint Vincent and the Grenadines,107000,108000,108000,109000,108000,109000,111000
Sint Maarten (Dutch part),29000,31000,33000,33000,34000,40000,42000
Trinidad and Tobago,1221000,1254000,1267000,1297000,1328000,1370000,1395000
Turks and Caicos Islands,12000,16000,20000,28000,33000,36000,38000
United States Virgin Islands,104000,107000,109000,108000,106000,105000,105000
Belize,188000,207000,247000,284000,322000,361000,390000
Costa Rica,3119000,3546000,3962000,4286000,4577000,4848000,5048000
El Salvador,5270000,5629000,5888000,6052000,6184000,6325000,6454000
Guatemala,9264000,10408000,11651000,13096000,14630000,16252000,17581000
Honduras,4955000,5709000,6575000,7459000,8317000,9113000,9746000
Mexico,83943000,91663000,98900000,106005000,114093000,121858000,127576000
Nicaragua,4173000,4652000,5069000,5439000,5824000,6223000,6546000
Panama,2471000,2740000,3030000,3330000,3643000,3968000,4246000
Argentina,32619000,34828000,36871000,38893000,40896000,43075000,44781000
Bolivia (Plurinational State of),6865000,7622000,8418000,9232000,10049000,10870000,11513000
Brazil,149003000,162020000,174790000,186127000,195714000,204472000,211050000
Chile,13275000,14381000,15342000,16183000,17063000,17969000,18952000
Colombia,33103000,36421000,39630000,42648000,45223000,47521000,50339000
Ecuador,10231000,11455000,12681000,13826000,15011000,16212000,17374000
Falkland Islands (Malvinas),2000,2000,3000,3000,3000,3000,3000
French Guiana,116000,137000,163000,203000,233000,261000,291000
Guyana,743000,761000,747000,746000,749000,767000,783000
Paraguay,4223000,4777000,5323000,5824000,6248000,6689000,7045000
Peru,22071000,24299000,26460000,27866000,29028000,30471000,32510000
Suriname,405000,442000,471000,499000,529000,559000,581000
Uruguay,3110000,3224000,3320000,3322000,3359000,3412000,3462000
Venezuela (Bolivarian Republic of),19633000,21931000,24192000,26432000,28440000,30082000,28516000
Australia,16961000,17993000,18991000,20179000,22155000,23933000,25203000
New Zealand,3398000,3675000,3859000,4135000,4370000,4615000,4783000
Fiji,729000,775000,811000,822000,860000,869000,890000
New Caledonia,170000,193000,217000,236000,254000,271000,283000
Papua New Guinea,4616000,5187000,5848000,6495000,7311000,8108000,8776000
Solomon Islands,312000,359000,413000,470000,528000,603000,670000
Vanuatu,147000,168000,185000,209000,236000,271000,300000
Guam,130000,146000,155000,158000,159000,162000,167000
Kiribati,72000,78000,84000,92000,103000,111000,118000
Marshall Islands,47000,50000,51000,55000,56000,57000,59000
Micronesia (Fed. States of),96000,108000,107000,106000,103000,109000,114000
Nauru,10000,11000,10000,10000,10000,10000,11000
Northern Mariana Islands,46000,46000,57000,57000,54000,56000,57000
Palau,15000,17000,19000,20000,18000,18000,18000
American Samoa,47000,53000,58000,60000,56000,56000,55000
Cook Islands,18000,19000,18000,19000,18000,18000,18000
French Polynesia,200000,218000,241000,259000,266000,273000,279000
Niue,2000,2000,2000,2000,2000,2000,2000
Samoa,163000,170000,174000,180000,186000,194000,197000
Tokelau,2000,2000,2000,1000,1000,1000,1000
Tonga,95000,96000,98000,101000,104000,101000,104000
Tuvalu,9000,9000,9000,10000,11000,11000,12000
Wallis and Futuna Islands,14000,14000,15000,15000,13000,12000,11000
Belarus,10151000,10078000,9872000,9562000,9421000,9439000,9452000
Bulgaria,8841000,8379000,7998000,7687000,7425000,7200000,7000000
Czechia,10341000,10358000,10289000,10258000,10537000,10601000,10689000
Hungary,10377000,10349000,10221000,10086000,9927000,9778000,9685000
Poland,37960000,38459000,38557000,38369000,38330000,38034000,37888000
Republic of Moldova,4366000,4341000,4203000,4159000,4086000,4071000,4043000
Romania,23489000,22965000,22137000,21417000,20472000,19925000,19365000
Russian Federation,147532000,148227000,146405000,143672000,143479000,144985000,145872000
Slovakia,5288000,5375000,5399000,5399000,5404000,5436000,5457000
Ukraine,51463000,50904000,48838000,46891000,45792000,44922000,43994000
Channel Islands,141000,143000,148000,152000,160000,165000,172000
Denmark,5141000,5233000,5341000,5422000,5555000,5689000,5772000
Estonia,1565000,1433000,1399000,1356000,1332000,1315000,1326000
Faroe Islands,47000,46000,47000,48000,48000,48000,49000
Finland,4996000,5119000,5188000,5259000,5366000,5481000,5532000
Iceland,255000,268000,280000,295000,320000,330000,339000
Ireland,3511000,3592000,3783000,4141000,4554000,4652000,4882000
Isle of Man,70000,72000,77000,80000,85000,83000,85000
Latvia,2664000,2508000,2384000,2252000,2119000,1998000,1907000
Lithuania,3696000,3627000,3502000,3344000,3124000,2932000,2760000
Norway,4247000,4367000,4499000,4632000,4886000,5200000,5379000
Sweden,8567000,8836000,8882000,9039000,9390000,9765000,10036000
United Kingdom,57134000,57932000,58923000,60288000,63460000,65860000,67530000
Albania,3286000,3113000,3129000,3087000,2948000,2891000,2881000
Andorra,55000,64000,65000,79000,84000,78000,77000
Bosnia and Herzegovina,4463000,3829000,3751000,3765000,3705000,3429000,3301000
Croatia,4776000,4617000,4428000,4378000,4328000,4233000,4130000
Gibraltar,29000,29000,31000,33000,34000,34000,34000
Greece,10226000,10746000,11082000,11225000,10888000,10660000,10473000
Holy See,1000,1000,1000,1000,1000,1000,1000
Italy,57048000,57174000,56692000,58281000,59325000,60578000,60550000
Malta,362000,377000,394000,405000,414000,434000,440000
Montenegro,615000,620000,614000,616000,624000,627000,628000
North Macedonia,1996000,1983000,2035000,2060000,2071000,2079000,2083000
Portugal,9895000,10091000,10297000,10508000,10596000,10368000,10226000
San Marino,24000,26000,27000,29000,31000,33000,34000
Serbia,9518000,9884000,9488000,9194000,8991000,8877000,8772000
Slovenia,2006000,1991000,1988000,1995000,2043000,2071000,2079000
Spain,39203000,39787000,40825000,44019000,46931000,46672000,46737000
Austria,7724000,7990000,8069000,8254000,8410000,8679000,8955000
Belgium,10007000,10186000,10282000,10547000,10939000,11288000,11539000
France,56667000,57802000,59015000,61120000,62880000,64453000,65130000
Germany,79054000,81139000,81401000,81603000,80827000,81787000,83517000
Liechtenstein,29000,31000,33000,35000,36000,37000,38000
Luxembourg,382000,408000,436000,458000,508000,567000,616000
Monaco,29000,31000,32000,34000,36000,38000,39000
Netherlands,14965000,15468000,15926000,16367000,16683000,16938000,17097000
Switzerland,6653000,6996000,7144000,7387000,7809000,8297000,8591000
Bermuda,62000,63000,65000,66000,65000,64000,63000
Canada,27541000,29164000,30588000,32164000,34148000,36027000,37411000
Greenland,56000,56000,56000,57000,57000,56000,57000
Saint Pierre and Miquelon,6000,6000,6000,6000,6000,6000,6000
United States of America,252120000,265164000,281711000,294994000,309011000,320878000,329065000
